Vin, Vout_RC1, Vout_RC01, Vout_RC001
-1.000000000000000000e+00, -3.824604779404806587e-01, -9.994406415145508094e-01, -6.597567386260259070e-01
-1.000000000000000000e+00, -4.361242228596558523e-01, -9.997746403498617429e-01, -7.163211876364955488e-01
1.000000000000000000e+00, -4.851246175909033620e-01, -9.999091902299305223e-01, -7.634819428600785329e-01
1.000000000000000000e+00, -3.560683520948458858e-01, 1.942559524913848312e-01, -4.703082485515068800e-01
1.000000000000000000e+00, -2.382269850484574625e-01, 6.753735170578295532e-01, -2.258738010000885255e-01
1.000000000000000000e+00, -1.306259485845869817e-01, 8.692111255068679654e-01, -2.207587346627386260e-02
1.000000000000000000e+00, -3.237536119828895997e-02, 9.473064233279787638e-01, 1.478412740497095090e-01
1.000000000000000000e+00, 5.733732183421698381e-02, 9.787702656522366818e-01, 2.895101800746124332e-01
1.000000000000000000e+00, 1.392540343679855575e-01, 9.914467445657418887e-01, 4.076270416615141445e-01
1.000000000000000000e+00, 2.140522433573248118e-01, 9.965539757776861185e-01, 5.061073218085806458e-01
1.000000000000000000e+00, 2.823505414309140371e-01, 9.986116321768175874e-01, 5.882155449438009054e-01
1.000000000000000000e+00, 3.447137662299262773e-01, 9.994406407598269704e-01, 6.566735130348879679e-01
1.000000000000000000e+00, 4.016576729198323981e-01, 9.997746406997902735e-01, 7.137505442530993616e-01
-1.000000000000000000e+00, 4.536531798454290221e-01, 9.999091958937879054e-01, 7.613386778623107976e-01
-1.000000000000000000e+00, 3.273317597440987270e-01, -1.942559483840775036e-01, 4.685212639296461035e-01
-1.000000000000000000e+00, 2.119875827084498898e-01, -6.753735152085270643e-01, 2.243838978412215357e-01
-1.000000000000000000e+00, 1.066667293728061350e-01, -8.692111247724726431e-01, 2.083366189465615109e-02
-1.000000000000000000e+00, 1.049818034678131826e-02, -9.473064229769563305e-01, -1.488769707270621023e-01
-1.000000000000000000e+00, -7.731338945603657975e-02, -9.787702655548576880e-01, -2.903736955928656327e-01
-1.000000000000000000e+00, -1.574941959267523173e-01, -9.914467445095342946e-01, -4.083470003246761904e-01
-1.000000000000000000e+00, -2.307073477528950589e-01, -9.965539757458445891e-01, -5.067075890352346068e-01
-1.000000000000000000e+00, -2.975583290214872667e-01, -9.986116321595790435e-01, -5.887160198913703457e-01
-1.000000000000000000e+00, -3.586000080977409521e-01, -9.994406407723368524e-01, -6.570907853819852873e-01
-1.000000000000000000e+00, -4.143372113994612249e-01, -9.997746406464733671e-01, -7.140984462232561336e-01
1.000000000000000000e+00, -4.652308778563932767e-01, -9.999091744219777977e-01, -7.616287383211093331e-01
